Name,Info
CLAR 50. First-Year Seminar: Art in the Ancient City. 3 Credits.,"The course offers a comparative perspective on the archaeology of ancient Egypt and Bronze Age Greece (3000-1100 BCE) exploring the public art produced by these two early Mediterranean societies: the Aegean Bronze Age palace centers of Crete and Mainland Greece and the territorial state of ancient Egypt. Honors version available
Gen Ed: VP, BN, WB.
Grading status: Letter grade.
"
CLAR 51. First-Year Seminar: Who Owns the Past?. 3 Credits.,"Archaeology is all about the past, but it is embedded in the politics and realities of the present day. This course introduces students to the ethical, moral, and political dimensions of archaeological sites and artifacts, especially in situations where the meaning and stewardship of ancient artifacts is under dispute. Honors version available
Gen Ed: PH, CI, GL.
Grading status: Letter grade.
"
CLAR 110. The Archaeology of Palestine in the New Testament Period. 3 Credits.,"This course surveys the archaeology of Palestine (modern Israel and Jordan) from the Persian period (ca. 586 BCE) to the Muslim conquest (640 CE).
Gen Ed: HS, BN, WB.
Grading status: Letter grade
Same as: RELI 110, JWST 110.
"
CLAR 120. Ancient Cities. 3 Credits.,"An introduction to Mediterranean archaeology through the examination of archaeological sites from the Neolithic period (ca. 9000 BCE) to the Roman Empire (fourth century CE). The sites, geographic and cultural areas, and chronological periods of study vary depending on instructor. Does not satisfy classical archaeology major requirements. Honors version available
Gen Ed: HS, WB.
Grading status: Letter grade.
"
CLAR 190. Special Topics in Classical Archaeology. 3 Credits.,"A special topics course on a selected aspect of classical archaeology.
Repeat rules: May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.
Grading status: Letter grade.
"
CLAR 200. Art and Fashion from Rome to Timbuktu. 3 Credits.,"In the Roman Empire and in contemporary Africa, clothing reflects local symbolic systems and global trade networks. Rome is imagined as the source of Western culture, and Africa evokes distant exoticism; this course will complicate such conceptions. Through fashion we explore political, economic, and religious systems, as well as creativity.
Gen Ed: VP, WB.
Grading status: Letter grade
Same as: ARTH 200.
"
CLAR 241. Archaeology of Ancient Near East. 3 Credits.,"A survey of the cultures of the ancient Near East, Mesopotamia, Anatolia (modern Turkey) and the Levant, from the first settled villages of the ninth millennium to the Persian conquest of Babylon in 539 BCE.
Gen Ed: HS, BN, WB.
Grading status: Letter grade.
"
CLAR 242. Archaeology of Egypt. 3 Credits.,"A survey of the archaeological remains of ancient Egypt, from the earliest settlements of the Neolithic period until the end of the New Kingdom.
Gen Ed: HS, BN, WB.
Grading status: Letter grade
Same as: ARTH 242.
"
CLAR 243. Minoans and Mycenaeans: The Archaeology of Bronze Age Greece. 3 Credits.,"A survey of the material culture of Greece, the Cyclades, and Crete from the Paleolithic period (ca. 50,000 years ago) until the end of the Bronze Age (ca. 1200 BCE). Primary focus will be the urbanized palatial centers that emerged in mainland Greece (Mycenaean) and the island of Crete (Minoan).
Gen Ed: HS, WB.
Grading status: Letter grade.
"
CLAR 244. Greek Archaeology. 3 Credits.,"The historical development of the art and architecture of Greece from the Bronze Age through the Hellenistic period.
Gen Ed: HS, NA, WB.
Grading status: Letter grade.
"
