Name,Info
PHIL 51. First-Year Seminar: Who Was Socrates?. 3 Credits.,"Socrates is the quintessential philosopher--a man for all seasons, a foundational figure of the West.
Gen Ed: PH, NA, WB.
Grading status: Letter grade.
"
PHIL 52. First-Year Seminar: Reason and Religion at the Dawn of Modern Science. 3 Credits.,"Students will read some of the most important philosophical reflections of the 17th and 18th centuries.
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 53. First-Year Seminar: Theories in Human Nature. 3 Credits.,"Students will explore a variety of issues that arise when human beings begin to reflect on our own natures and will be introduced to main theories that have been developed. Honors version available
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 54. First-Year Seminar: Thinking about Time. 3 Credits.,"What is time? Do the past and the future exist, or only the present? Is the ""flow of time"" an objective feature of reality?
Gen Ed: PH, WB.
Grading status: Letter grade.
"
PHIL 55. First-Year Seminar: Paradoxes. 3 Credits.,"Paradoxes have been a driving force in philosophy since the fourth century BCE. They force us to rethink old ideas and conceptions.
Gen Ed: PH, CI.
Grading status: Letter grade.
"
PHIL 56. First-Year Seminar: Abortion. 3 Credits.,"A general philosophical discussion of the value of life, the evil in death, and the wrongness of killing.
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 57. First-Year Seminar: Race and Affirmative Action. 3 Credits.,"The goal of the course is to get a mature and correct understanding of race, racism, and affirmative action.
Gen Ed: US.
Grading status: Letter grade.
"
PHIL 58. First-Year Seminar: From Vengeance to Mercy: Dealing with Evil. 3 Credits.,"This course will explore the ethical dimensions of the responses to evil that we have developed over history. Revenge, retribution, reparation; hatred, resentment, forgiveness; punishment, pardon, mercy.
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 59. First-Year Seminar: Proofs of the Existence of God. 3 Credits.,"We will examine efforts in the history of philosophy to prove that God exists or that God does not exist. Our aim is to articulate and understand some of the underlying philosophical issues that are raised by these proofs and arguments.
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 60. First-Year Seminar: Plato's Symposium and Its Influence on Western Art and Literature. 3 Credits.,"This seminar examines Plato's philosophical and literary masterpiece, The Symposium, and its influence on later artists and writers: we explore the Symposium itself, the ways in which the Symposium influenced later European artists and writers, and the importance of the Platonic view of love and beauty for modern artists and writers. Honors version available
Gen Ed: PH.
Grading status: Letter grade.
"
"PHIL 63. First-Year Seminar: Mind, Brain, and Consciousness. 3 Credits.","What are minds and how are they related to bodies?
Gen Ed: SS.
Grading status: Letter grade.
"
PHIL 65. First-Year Seminar: Philosophy through Mathematics. 3 Credits.,"This seminar introduces several of the central problems in philosophy through reflection on the nature of mathematics.
Gen Ed: QI.
Grading status: Letter grade.
"
PHIL 66. First-Year Seminar: Ethics: Theoretical and Practical. 3 Credits.,"This seminar examines theoretical issues, relativism, utilitarianism, deontological ethics, and virtue ethics.
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 67. First-Year Seminar: Issues in a World Society: Sports and Competition. 3 Credits.,"This seminar examines ethical issues in sports, including Title IX, gender equity, racism, sexism, cheating, violence, and drug use.
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 68. First-Year Seminar: Moral Life. 3 Credits.,"This course will explore the meaning of basic moral concepts as they are understood in philosophy, science, and art. Honors version available
Gen Ed: PH.
Grading status: Letter grade.
"
"PHIL 70. First-Year Seminar: Gateway to Philosophy, Politics, and Economics. 3 Credits.","This course uses insights and techniques from philosophy, politics, and economics to answer questions like: What makes a modern civilization possible? How can our societies continue to improve? What role do property rights, markets, and political action play in creating flourishing civilizations? How do we address environmental degradation, distributive justice, and economic exploitation? Our answers will draw from rational choice theory, utility theory, game theory, public choice economics, etc. Course is limited to PPE minors.
Grading status: Letter grade.
"
PHIL 75. First-Year Seminar: Evil. 3 Credits.,"What is evil? Who, if anyone, is responsible for it? How different are evil people from the rest of us? How should we respond to them? The course will explore the nature of evil through philosophy, nonfiction, fiction, and film.
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 76. First-Year Seminar: Is Free Will an Illusion?. 3 Credits.,"This course will examine whether our belief in freedom of action is compatible with the modern picture of ourselves. Honors version available
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 77. First-Year Seminar: Moral Weakness and Conscience. 3 Credits.,"Is man's reason a powerful thing: if one had knowledge or belief about something that should be done, would that be enough to position one to do it?
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 78. First-Year Seminar: Death as a Problem for Philosophy: Metaphysical and Ethical. 3 Credits.,"This course explores both old and new questions regarding death. It will examine the presuppositions and cogency of the classical religious-philosophical conception of death.
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 79. First-Year Seminar: Words That Bind: The Structure of Constitutions. 3 Credits.,"In this seminar we will examine a number of constitutions and try to determine what makes a constitution better or worse, and when it makes sense to borrow constitutional principles from other countries. We will also try our hand at designing a constitution.
Gen Ed: PH, CI.
Grading status: Letter grade.
"
"PHIL 85. First-Year Seminar: Reason, Religion, and Reality in the Copernican Revolution. 3 Credits.","The arguments by which Galileo and his contemporaries defended the Copernican model of the solar system puzzle philosophers even today. Honors version available
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 89. First Year Seminar: Special Topics. 3 Credits.,"Special Topics Course. Content will vary each semester.
Repeat rules: May be repeated for credit; may be repeated in the same term for different topics; 6 total credits. 2 total completions.
Grading status: Letter grade.
"
"PHIL 101. Introduction to Philosophy: Central Problems, Great Minds, Big Ideas. 3 Credits.","An introduction to philosophy focusing on a few central problems, for example: free will, the basis of morality, the nature and limits of knowledge, and the existence of God. Honors version available
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 105. How to Reason and Argue: An Introduction to Critical Thinking. 3 Credits.,"A course on how to identify, analyze, and evaluate arguments by other people and how to construct arguments. Topics include argument reconstruction, informal logic, fallacies, introductory formal logic, probabilistic reasoning.
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 110. Philosophical Texts that Changed the World: An Introduction to Philosophy through Great Works. 3 Credits.,"An introduction to philosophy focusing on several great books from the history of Western philosophy. See course description at the department's website for which books will be covered each semester. Honors version available
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 112. Making Sense of Ourselves. 3 Credits.,"An examination of some of the most influential attempts to understand human beings, their lives, and their moral and political values. Authors may include Plato, Aristotle, and Nietzsche. Honors version available
Gen Ed: PH.
Grading status: Letter grade.
"
"PHIL 134. Reason, Faith, and God: Philosophy of Western Religion. 3 Credits.","A philosophical inquiry into the problems of religious experience and belief, as expressed in philosophic, religious, and literary documents from traditional and contemporary sources. Honors version available
Gen Ed: PH, NA.
Grading status: Letter grade
Same as: RELI 126.
"
PHIL 140. Knowledge and Society. 3 Credits.,"An examination of questions about knowledge, evidence, and rational belief as they arise in areas of social life such as democratic politics, the law, science, religion, and education. Honors version available
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 143. AI and the Future of Humanity: Philosophical Issues about Technology and Human Survival. 3 Credits.,"This course investigates philosophical issues arising from advanced forms of technology, in particular artificial intelligence, virtual reality, and biological augmentation. We will consider questions about the dangers and benefits of AI, survival in non-biological ways, moral constraints on AI, the relationship between human and machine morality, and others. Honors version available
Gen Ed: PH.
Repeat rules: May be repeated for credit. 6 total credits. 2 total completions.
Grading status: Letter grade.
"
"PHIL 145. Language, Communication, and Human and Animal Minds. 3 Credits.","An examination of the differences between natural human languages and other communication systems. Includes a philosophical inquiry into how languages relate to the world and the mind. Honors version available
Gen Ed: PH.
Grading status: Letter grade
Same as: LING 145.
"
"PHIL 150. Theory, Evidence, and Understanding in Science. 3 Credits.","What is distinctive about the kind of knowledge called ""science""? What is scientific explanation? How are scientific theories related to empirical evidence? Honors version available
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 154. Philosophy of the Social Sciences. 3 Credits.,"How do social sciences explain human actions? Are there social facts over and above facts about various individuals? Do values enter into social science?
Gen Ed: PH.
Repeat rules: May be repeated for credit. 6 total credits. 2 total completions.
Grading status: Letter grade.
"
PHIL 155. Truth and Proof: Introduction to Mathematical Logic. 3 Credits.,"Introduces the theory of deductive reasoning, using a symbolic language to represent and evaluate patterns of reasoning. Covers sentential logic and first-order predicate logic. Honors version available
Gen Ed: QR.
Grading status: Letter grade.
"
PHIL 157. Logic and Decision Theory. 3 Credits.,"A broader discussion of practical reasoning, including inductive and deductive logic, which provides a good introduction to decision and game theory that is important for the social sciences, especially economics.
Gen Ed: QI.
Grading status: Letter grade.
"
"PHIL 160. Virtue, Value, and Happiness: An Introduction to Moral Theory. 3 Credits.","Exploration of different philosophical perspectives about right and wrong, personal character, justice, moral reasoning, and moral conflicts. Readings drawn from classic or contemporary sources. Critical discussion emphasized. Honors version available
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 163. Practical Ethics: Moral Reasoning and How We Live. 3 Credits.,"Topics may include war, medical ethics, media ethics, sexual ethics, business ethics, racism, sexism, capital punishment, and the environment. Honors version available
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 164. Morality and Business. 3 Credits.,"An examination of business ethics and the types of ethical dilemmas people may face in business practices.
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 165. Bioethics. 3 Credits.,"An examination of ethical issues in the life sciences and technologies, medicine, public health, and/or human interaction with nonhuman animals or the living environment. Honors version available
Gen Ed: PH.
Grading status: Letter grade.
"
"PHIL 170. Liberty, Rights, and Responsibilities: Introduction to Social Ethics and Political Thought. 3 Credits.","An examination of major issues in political philosophy, e.g., liberty, individual rights, social responsibility, legal authority, civil authority, civil disobedience. Readings include classical and contemporary writings. Honors version available
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 180. Philosophy of Humor. 3 Credits.,"A course on philosophical issues related to laughter and humor. Historical and contemporary philosophical theories of humor; connections between traditional issues in aesthetics and humor; moral questions about humor, such as what is involved in a joke being racist/sexist/homophobic; and connections between jokes and various epistemological fallacies.
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 185. Aesthetics and the Philosophy of Art. 3 Credits.,"The nature of art and artworks and their aesthetic appraisal. Honors version available
Gen Ed: PH.
Grading status: Letter grade.
"
"PHIL 210. Wonder, Myth, and Reason: Introduction to Ancient Greek Science and Philosophy. 3 Credits.","The emergence of philosophy in Greece during the sixth century BCE and its development during the classical period. The major figures studied are the Pre-Socratic philosophers, Socrates, Plato, and Aristotle. Honors version available
Gen Ed: PH, WB.
Grading status: Letter grade.
"
PHIL 213. Asian Philosophy. 3 Credits.,"An examination of some of the philosophical traditions of Asia. Possible topics include Advaita Vedanta, Nyaya-Vaisheshika, Madhyamaka Buddhism, neo-Confucianism, Mohism, and philosophical Taoism.
Gen Ed: PH, BN, WB.
Grading status: Letter grade.
"
PHIL 215. Medieval Philosophy. 3 Credits.,"A survey of medieval philosophy from Augustine through Ockham. Topics: God and the world, faith and reason, knowledge and reality, the problem of universals. Additional main authors: Anselm, Aquinas, Duns Scotus.
Gen Ed: PH, NA, WB.
Grading status: Letter grade.
"
PHIL 220. 17th and 18th Century Western Philosophy. 3 Credits.,"A study of some major philosophical works from this period, including works by authors such as Descartes, Spinoza, Locke, Berkeley, Leibniz, Hume, and/or Kant. Honors version available
Gen Ed: PH, NA, WB.
Repeat rules: May be repeated for credit. 6 total credits. 2 total completions.
Grading status: Letter grade.
"
PHIL 224. Existential Philosophy and the Meaning(lessness) of Life. 3 Credits.,"A survey of European philosophers in the phenomenological and existentialist traditions. Philosophers studied may include Kierkegaard, Nietzsche, Husserl, Heidegger, Sartre, Camus. Honors version available
Gen Ed: PH, NA.
Grading status: Letter grade.
"
PHIL 228. American Philosophy. 3 Credits.,"An exploration of the distinctively American approaches to philosophy from Jonathan Edwards to the present.
Gen Ed: NA.
Grading status: Letter grade.
"
PHIL 229. 20th-Century Western Philosophy. 3 Credits.,"An introductory survey of British and Continental philosophy in the 20th century.
Gen Ed: NA.
Grading status: Letter grade.
"
"PHIL 230. Mind, Matter, and Metaphysics: the Philosophy of Experience and Reality. 3 Credits.","Topics in metaphysics and/or epistemology, such as: Is your mind different from your brain? Is it possible for us to know anything about the external world? Do we have free will? What distinguishes reasonable from unreasonable belief? Honors version available
Gen Ed: PH, NA.
Grading status: Letter grade.
"
PHIL 261. Ethics in Action. 3 Credits.,"Required preparation, one previous PHIL ethics course. Permission of the instructor. Ethics Bowl provides a unique experiential opportunity for students to apply theory to practical global issues. Students will prepare cases to present locally and at Ethics Bowl competition.
Gen Ed: PH, CI, EE- Mentored Research.
Repeat rules: May be repeated for credit. 12 total credits. 4 total completions.
Grading status: Letter grade.
"
PHIL 266. Not All Fun and Games: Ethics of Sports. 3 Credits.,"An analysis of the moral significance of sports, the nature of sport and competition, and issues such as racism, gender equity, violence, and performance-enhancing drugs. Honors version available
Gen Ed: PH.
Grading status: Letter grade.
"
"PHIL 272. The Ethics of Peace, War, and Defense. 3 Credits.","An analysis of ethical issues that arise in peace, war, and defense, e.g., the legitimacy of states, just war theory, terrorism, weapons of mass destruction.
Gen Ed: PH, GL, NA.
Grading status: Letter grade
Same as: POLI 272, PWAD 272.
"
"PHIL 273. Justice, Rights, and the Common Good: Philosophical Perspectives on Social and Economic Issues. 3 Credits.","This course will focus on justice and the common good, applying theoretical justifications to contemporary social and economic issues. Readings will include classical and contemporary literature on the nature of justice and rights.
Gen Ed: PH.
Grading status: Letter grade.
"
"PHIL 274. Race, Racism, and Social Justice: African-American Political Philosophy. 3 Credits.","Race, identity, discrimination, multiculturalism, affirmative action, and slave reparations in the writings of Walker, Delany, Douglass, Cooper, DuBois, King, and Malcolm X. Honors version available
Gen Ed: PH, US.
Grading status: Letter grade.
"
PHIL 275. Moral and Philosophical Issues of Gender in Society. 3 Credits.,"A survey of feminist perspectives on topics such as the meaning of oppression, sexism and racism, sex roles and stereotypes, ideals of female beauty, women in the workplace, pornography, rape. Honors version available
Gen Ed: PH, US.
Grading status: Letter grade
Same as: WGST 275.
"
"PHIL 280. Morality, Law, and Justice: Issues in Legal Philosophy. 3 Credits.","Explores issues in legal philosophy such as, What is law? Does it serve justice or undermine it? Can punishment be justified? When is a person responsible? Honors version available
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 282. Human Rights: Philosophical Interrogations. 3 Credits.,"The philosophy of human rights addresses questions about the existence, content, nature, universality, justification, and legal status of human rights.The strong claims made on behalf of human rights frequently provoke skeptical doubts and countering philosophical defenses. These will be addressed through classical and contemporary history of philosophy.
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 285. Moral and Philosophical Issues in Education. 3 Credits.,"A critical examination of the moral and philosophical issues in education: What does it mean to be well educated? What is a liberal education?
Gen Ed: PH, CI.
Repeat rules: May be repeated for credit. 6 total credits. 2 total completions.
Grading status: Letter grade.
"
PHIL 292. Field Work in Philosophy: Introducing Philosophy in Primary and Secondary Schools. 3 Credits.,"Permission of the instructor. This course combines on-campus structured learning with substantial on-site field work incorporating philosophy into the primary and/or secondary school curriculum. Philosophy subjects and school partners will vary by semester.
Requisites: Prerequisite, two previous PHIL courses.
Gen Ed: EE- Mentored Research.
Repeat rules: May be repeated for credit. 9 total credits. 3 total completions.
Grading status: Letter grade.
"
PHIL 330. Metaphysics. 3 Credits.,"An examination of general theories of the nature of reality. What kinds of things exist? What are space, time, and causation? Are abstract entities (such as numbers) real?
Requisites: Prerequisite, one previous PHIL course.
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 335. Theory of Knowledge. 3 Credits.,"What is knowledge and how does it relate to belief, justification, and truth? What makes beliefs reasonable or irrational? Can skepticism be defeated?
Requisites: Prerequisite, one previous PHIL course.
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 340. Philosophy of Mind. 3 Credits.,"The mind-body problem, the nature of thinking, the puzzles of consciousness, and the qualitative character of felt experience.
Requisites: Prerequisite, one previous PHIL course.
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 345. Philosophy of Language. 3 Credits.,"Survey of major topics in contemporary philosophy of language. Topics may include truth and meaning, speech acts, reference, descriptions, names, and demonstratives.
Requisites: Prerequisite, one previous PHIL course.
Gen Ed: SS.
Grading status: Letter grade.
"
PHIL 351. Philosophy of Physics. 3 Credits.,"Topics may include the nature of space and time, the ontological status of fields and energy, or causation and locality in quantum physics. Honors version available
Requisites: Prerequisite, one previous PHIL course.
Gen Ed: PH.
Grading status: Letter grade.
"
"PHIL 352. Sex and Death, Life and Health, Species and Evolution: The Philosophy of Biology. 3 Credits.","Philosophical issues raised by biological theories, which may include the logical structure of evolutionary theory, fitness, taxonomy, the notion of a living thing, reductionism, evolutionary explanations, or teleology.
Requisites: Prerequisite, one previous PHIL course.
Gen Ed: PL.
Grading status: Letter grade.
"
PHIL 353. Minds and Machines: Philosophy of Cognitive Science. 3 Credits.,"Philosophical questions raised by linguistics, computer science, cognitive psychology, and neuroscience. Topics may include the innateness of language, artificial intelligence, and the neural correlates of consciousness. Honors version available
Requisites: Prerequisite, one previous PHIL course.
Gen Ed: SS.
Grading status: Letter grade.
"
"PHIL 354. Quantum Mechanics, Weirdness, and Reality. 3 Credits.","An interdisciplinary course on the weirdness of quantum mechanics and the problem of interpreting it. Nonlocality, the measurement problem, superpositions, Bohm's theory, collapse theories, and the many-worlds interpretation.
Requisites: Prerequisites, MATH 231 and any PHYS course numbered 100 or greater; permission of the instructor for students lacking the prerequisites.
Gen Ed: PH.
Grading status: Letter grade
Same as: PHYS 354.
"
PHIL 355. Intermediate Mathematical Logic. 3 Credits.,"Quantificational logic with identity; basic meta-theory; modal logic.
Requisites: Prerequisite, PHIL 155.
Gen Ed: QI.
Grading status: Letter grade.
"
"PHIL 357. Induction, Probability, and Confirmation. 3 Credits.","Current accounts of evidence and observation, the confirmation of scientific theories, the logic of inductive reasoning, and the metaphysics and epistemology of chance.
Requisites: Prerequisite, one previous PHIL course.
Gen Ed: QI.
Grading status: Letter grade.
"
PHIL 360. Major Developments in Ethics: Historical and Philosophical Perspectives. 3 Credits.,"PHIL 160 recommended. Major developments in the history of moral philosophy, from Plato to Nietzsche. Honors version available
Requisites: Prerequisite, one previous PHIL course.
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 362. Contemporary Ethical Theory. 3 Credits.,"Using 20th- and 21st-century texts, this course explores some general questions about morality in depth. For example, Is there moral truth? Are any moral rules absolute? Why be moral? Honors version available
Requisites: Prerequisite, one previous PHIL course.
Gen Ed: PH.
Grading status: Letter grade.
"
PHIL 364. Ethics and Economics. 3 Credits.,"Recommended preparation, at least one course in ethics (PHIL 160, 163, or 170) or one course in economics. Issues at the intersection of ethics and economics, including value; the relation between values and preferences; rationality; the relevance to economics of rights, justice, and the value of human life.
Gen Ed: PH.
Grading status: Letter grade
Same as: PLCY 364.
"
"PHIL 368. Living Things, Wilderness, and Ecosystems: An Introduction to Environmental Ethics. 3 Credits.","The meaning of environmental values and their relation to other values; the ethical status of animals, species, wilderness, and ecosystems; the built environment; environmental justice; ecofeminism; obligations to future generations.
Gen Ed: PH, GL.
Grading status: Letter grade
Same as: ENEC 368.
"
"PHIL 370. Authority, Freedom, and Rights: Advanced Political Philosophy. 3 Credits.","Advanced discussion of competing philosophical approaches to questions of justice, authority, freedom, rights, and the like, including libertarianism, liberalism, communitarianism, Marxism, and feminism.
Requisites: Prerequisite, one previous PHIL course.
Gen Ed: PH, NA.
Grading status: Letter grade.
"
PHIL 381. Philosophy and Film. 3 Credits.,"An examination of how philosophical issues are explored in the medium of film. Honors version available
Requisites: Prerequisite, one previous PHIL course.
Gen Ed: PH.
Grading status: Letter grade.
"
"PHIL 384. Gateway to Philosophy, Politics, and Economics. 3 Credits.","One course in economics strongly recommended. This interdisciplinary gateway course provides an introduction to subjects and quantitative techniques used to analyze problems in philosophy, political science, and economics.
Gen Ed: PH.
Grading status: Letter grade
Same as: ECON 384, POLI 384.
"
PHIL 390. Seminar in Selected Topics. 3 Credits.,"Intensive exploration and discussion of selected topics in philosophy. Honors version available
Requisites: Prerequisite, one previous PHIL course.
Repeat rules: May be repeated for credit; may be repeated in the same term for different topics; 9 total credits. 3 total completions.
Grading status: Letter grade.
"
PHIL 396. Directed Readings. 1-3 Credits.,"Permission of the instructor. See the director of undergraduate studies of the department.
Requisites: Prerequisite, one previous PHIL course.
Repeat rules: May be repeated for credit; may be repeated in the same term for different topics; 9 total credits. 3 total completions.
Grading status: Letter grade.
"
PHIL 397. Philosophy Research Seminar for Undergraduates. 3 Credits.,"This course is designed to approximate the experience of a graduate seminar in philosophy. The course topic is different each year; class meetings are discussion-based and focused on developing professional writing and research skills. Recommended for all majors and minors.
Requisites: Prerequisite, two previous PHIL courses.
Gen Ed: CI.
Repeat rules: May be repeated for credit. 9 total credits. 3 total completions.
Grading status: Letter grade.
"
PHIL 411. Aristotle. 3 Credits.,"An examination of some representative works of Aristotle, with reference to common emphases and basic problems, together with an analysis of their philosophic content.
Repeat rules: May be repeated for credit. 6 total credits. 2 total completions.
Grading status: Letter grade.
"
PHIL 412. Plato. 3 Credits.,"An examination of some representative works in the context of contemporary scholarship.
Gen Ed: WB.
Repeat rules: May be repeated for credit. 6 total credits. 2 total completions.
Grading status: Letter grade.
"
PHIL 415. Medieval Philosophy. 3 Credits.,"An intensive study of some medieval philosophical author (e.g., Aquinas, Scotus, or Ockham) or topic (e.g., arguments for the existence of God, universals, knowledge of individuals).
Repeat rules: May be repeated for credit. 6 total credits. 2 total completions.
Grading status: Letter grade.
"
PHIL 421. Rationalism. 3 Credits.,"An in-depth study of such rationalist philosophers as Descartes, Spinoza, and Leibniz.
Repeat rules: May be repeated for credit. 6 total credits. 2 total completions.
Grading status: Letter grade.
"
PHIL 422. Empiricism. 3 Credits.,"An in-depth study of such empiricist philosophers as Locke, Berkeley, and Hume.
Repeat rules: May be repeated for credit. 6 total credits. 2 total completions.
Grading status: Letter grade.
"
PHIL 423. Kant's Theoretical Philosophy. 3 Credits.,"An intensive introduction to Kant's accounts of space, time, concepts, perception, substance, causation, and the thinking self through a careful study of his masterwork, The Critique of Pure Reason.
Repeat rules: May be repeated for credit. 6 total credits. 2 total completions.
Grading status: Letter grade.
"
PHIL 424. Kant's Practical Philosophy. 3 Credits.,"This course studies closely Kant's practical philosophy, dedicated to understanding and assessing the answers that Kant gives to classic questions of practical philosophy, such as: What does morality demand from us? What is the morally right course of action? Is morality objective? Do moral norms depend on God?
Gen Ed: PH.
Repeat rules: May be repeated for credit. 6 total credits. 2 total completions.
Grading status: Letter grade.
"
PHIL 427. Hegel. 3 Credits.,"In-depth study of Hegel's systematic philosophy emphasizing its roots in Kant's critical philosophy. Primary focus on Phenomenology of Spirit, supplemented by selections from the Encyclopedia and Philosophy of Right.
Repeat rules: May be repeated for credit. 6 total credits. 2 total completions.
Grading status: Letter grade.
"
PHIL 428. History of American Philosophy. 3 Credits.,"An in-depth study of American contributions to philosophy, including for example the transcendentalists, the pragmatists, Quine, Rorty, and others.
Repeat rules: May be repeated for credit. 6 total credits. 2 total completions.
Grading status: Letter grade.
"
PHIL 432. The Beginnings of Analytic Philosophy. 3 Credits.,"Two courses in philosophy other than PHIL 155 strongly recommended. Frege, Russell, Moore, and Wittgenstein among others are considered.
Repeat rules: May be repeated for credit. 6 total credits. 2 total completions.
Grading status: Letter grade.
"
PHIL 433. Current Issues in Analytic Philosophy. 3 Credits.,"Two courses in philosophy other than PHIL 155 strongly recommended. Recent work in epistemology and metaphysics.
Repeat rules: May be repeated for credit. 9 total credits. 3 total completions.
Grading status: Letter grade.
"
PHIL 440. Philosophy of Mind. 3 Credits.,"At least two courses in philosophy other than PHIL 155, including PHIL 340, strongly recommended. An examination of dualism, behaviorism, the identity theory, and forms of functionalism with special focus on the problems of mental aboutness and the problems of consciousness.
Repeat rules: May be repeated for credit. 6 total credits. 2 total completions.
Grading status: Letter grade.
"
PHIL 445. Advanced Philosophy of Language. 3 Credits.,"At least two courses in philosophy other than PHIL 155, including PHIL 345, strongly recommended. A study of important contemporary contributions in philosophy of language. Topics include meaning, reference, and truth.
Repeat rules: May be repeated for credit. 6 total credits. 2 total completions.
Grading status: Letter grade
Same as: LING 410, LING 445.
"
